房名信息,地点,房屋情况,房源情况,所在地区,关注/发布时间,价格（万）,单价
力高花园大4房，大门前面是天虹，看房有钥匙,力高君御国际 , | 4室2厅 | 88.72平米 | 南 | 毛坯,中楼层(共35层)2016年建板塔结合  -  ,坪山,29人关注 / 9个月以前发布,345,单价38887元/平米
高楼层 安静 看福田景观 采光好 空间大,水木澜山居 , | 3室2厅 | 88.28平米 | 东南 | 精装,高楼层(共34层)2008年建板塔结合  -  ,梅林,105人关注 / 一年前发布,660,单价74763元/平米
钥匙房源 福田CBD 安静看花园 可免个人所得税,黄埔雅苑三期 , | 2室1厅 | 82.59平米 | 东北 | 简装,低楼层(共28层)2003年建塔楼  -  ,莲花,54人关注 / 一年前发布,728,单价88147元/平米
日辉台电梯三房C户型 朝南看花园,中海日辉台 , | 3室2厅 | 91.57平米 | 南 | 精装,高楼层(共11层)2005年建板塔结合  -  ,坂田,90人关注 / 一年前发布,440,单价48051元/平米
大世纪花园 满五唯一 楼梯房，社区大 交通方便,大世纪花园 , | 2室2厅 | 62.95平米 | 西北 | 简装,中楼层(共8层)2000年建板塔结合  -  ,布吉街,26人关注 / 一年前发布,275,单价43686元/平米
精装两房 东南向安静  采光度较好，楼下地铁口家乐福,祥云天都世纪大厦 , | 2室2厅 | 71.19平米 | 东南 | 精装,中楼层(共32层)2007年建板塔结合  -  ,新洲,34人关注 / 一年前发布,500,单价70235元/平米
乐城大的3房户型 朝南向 全明户型 采光优秀,THETOWN乐城 , | 3室2厅 | 88.4平米 | 东南 | 精装,中楼层(共33层)2015年建塔楼  -  ,横岗,16人关注 / 11个月以前发布,408,单价46154元/平米
大运 满五 正规三房 南北通透,中海康城国际一期 , | 3室2厅 | 89.64平米 | 南 北 | 精装,中楼层(共26层)2011年建板塔结合  -  ,大运新城,13人关注 / 11个月以前发布,380,单价42392元/平米
莲花一村2房*3房 楼梯房已加装电梯 满5唯1诚售,莲花一村 , | 2室2厅 | 76.86平米 | 南 北 | 精装,中楼层(共8层)1995年建板塔结合  -  ,莲花,34人关注 / 11个月以前发布,630,单价81968元/平米
布吉地铁口物业，精装修，南向，户型方正，厅出阳台，,佳兆业大都汇 , | 2室1厅 | 62.65平米 | 南 | 精装,高楼层(共33层)2011年建板塔结合  -  ,布吉关,317人关注 / 11个月以前发布,246,单价39266元/平米
满五年唯一 大芬沃尔玛 配套齐全 交通便利,汇福花园 , | 2室1厅 | 50.37平米 | 东北 | 简装,高楼层(共28层)1999年建板楼  -  ,布吉大芬,112人关注 / 11个月以前发布,180,单价35736元/平米
温馨2+1房，厅出阳台，业主诚心出售,嘉洲豪园 , | 2室2厅 | 80.82平米 | 西南 | 精装,中楼层(共22层)2001年建板塔结合  -  ,新洲,23人关注 / 6个月以前发布,495,单价61248元/平米
富康苑  满五  唯一  红本在手  费用少,富康苑 , | 3室2厅 | 96.41平米 | 北 | 简装,高楼层(共8层)2001年建板塔结合  -  ,龙岗中心城,6人关注 / 一年前发布,350,单价36304元/平米
南向小两房 方正实用 满两年无增值税 高楼层 英郡年华,英郡年华 , | 2室1厅 | 61.66平米 | 南 | 精装,高楼层(共18层)2006年建塔楼  -  ,丹竹头,32人关注 / 一年前发布,288,单价46708元/平米
刚需户型，高楼层，全南向阳光足，客厅带阳台安静。,祥云天都世纪大厦 , | 2室2厅 | 71.17平米 | 东南 | 简装,中楼层(共32层)2007年建板塔结合  -  ,新洲,234人关注 / 一年前发布,439,单价61684元/平米
大运新城大运地铁口，精装两房，带8万平星河综合体,星河时代 , | 2室1厅 | 77.16平米 | 南 | 精装,中楼层(共32层)2012年建塔楼  -  ,大运新城,78人关注 / 7个月以前发布,370,单价47953元/平米
求水山边，东南向，270度彩光，精装，一本证,文峰华庭 , | 5室1厅 | 165.96平米 | 东南 南 西南 | 精装,中楼层(共33层)2014年建板塔结合  -  ,布吉南岭,5人关注 / 一年前发布,830,单价50013元/平米
龙岗中 心城 珑禧雅苑 137平装修四房 朝南 诚心出售,珑禧 , | 4室2厅 | 137.66平米 | 南 北 | 精装,中楼层(共30层)2015年建塔楼  -  ,龙岗中心城,11人关注 / 一年前发布,470,单价34143元/平米
业主诚心卖，满五年红本在手，看房方便，有钥匙,蜜园 , | 1室0厅 | 34.23平米 | 东南 | 简装,高楼层(共33层)2007年建塔楼  -  ,新洲,87人关注 / 一年前发布,185,单价54047元/平米
万科第五园三期南北向4房诚意卖，看房方便,万科第五园三期 , | 4室1厅 | 117.33平米 | 南 | 精装,中楼层(共23层)2008年建板塔结合  -  ,坂田,109人关注 / 一年前发布,535,单价45598元/平米
珑禧 4室2厅 430万,珑禧 , | 4室2厅 | 137.63平米 | 南 | 毛坯,低楼层(共30层)2015年建塔楼  -  ,龙岗中心城,38人关注 / 一年前发布,430,单价31244元/平米
加福广场  东南向  精装公寓出售,加福广场华尔登府邸 , | 1室1厅 | 51.64平米 | 东南 | 精装,中楼层(共28层)2007年建板塔结合  -  ,福田保税区,12人关注 / 11个月以前发布,256,单价49574元/平米
大五房 安静看花园，宝安体育馆 体育场旁,金成时代家园 , | 5室2厅 | 150.6平米 | 西南 | 精装,低楼层(共29层)2006年建板塔结合  -  ,宝安中心,36人关注 / 一年前发布,1030,单价68394元/平米
玮鹏花园 住家大四房 朝南大客厅 精装修 满五唯一,玮鹏花园 , | 4室2厅 | 164.16平米 | 东南 | 精装,低楼层(共31层)2002年建塔楼  -  ,华强北,17人关注 / 一年前发布,1200,单价73100元/平米
前海臻.品    满五年红本房   高层视野辽阔,西城上筑花园 , | 2室2厅 | 78.2平米 | 北 | 精装,高楼层(共33层)2006年建塔楼  -  ,宝安中心,32人关注 / 一年前发布,610,单价78006元/平米
满五唯一  精装修   户型方正  采光好,佳兆业悦峰 , | 3室1厅 | 79.7平米 | 南 | 精装,中楼层(共17层)2013年建板塔结合  -  ,坂田,92人关注 / 一年前发布,460,单价57717元/平米
东南向看泳池安静 品牌装修 设计精美  税费少,西海湾花园 , | 3室2厅 | 108.33平米 | 东南 | 精装,低楼层(共18层)2002年建板塔结合  -  ,后海,15人关注 / 一年前发布,1080,单价99696元/平米
大运安静看花园89平大三房，满五唯一，税低,中海康城国际一期 , | 3室1厅 | 89.08平米 | 西南 东北 | 精装,高楼层(共34层)2009年建塔楼  -  ,大运新城,75人关注 / 6个月以前发布,346,单价38842元/平米
城市广场二期带入户 看花园安静有钥匙 满五唯一税费少,佳兆业城市广场三期 , | 3室1厅 | 88.56平米 | 南 北 | 精装,中楼层(共46层)2015年建板塔结合  -  ,坂田,60人关注 / 3个月以前发布,545,单价61541元/平米
景秀年华南北通三房 满五红本高层无遮挡视野 随时看房,景秀年华家园 , | 3室2厅 | 117.13平米 | 南 北 | 简装,中楼层(共22层)2002年建板楼  -  ,香梅北,28人关注 / 2个月以前发布,985,单价84095元/平米
金钟大厦 标准一房一厅 业主诚心出手,金钟大厦 , | 1室1厅 | 39.39平米 | 北 | 精装,中楼层(共30层)2003年建板塔结合  -  ,南山中心,5人关注 / 2个月以前发布,355,单价90125元/平米
满五年 倚山花园 区政府旁 万科物业 业主很诚心出售,倚山花园二期 , | 2室1厅 | 76.27平米 | 西南 | 简装,低楼层(共11层)2004年建板塔结合  -  ,沙头角,1人关注 / 1个月以前发布,368,单价48250元/平米
缤纷假日豪园 4室2厅 1050万,缤纷假日豪园 , | 4室2厅 | 140.55平米 | 东 西 | 简装,高楼层(共19层)2001年建板塔结合  -  ,南山中心,37人关注 / 一年前发布,1050,单价74707元/平米
福田保税区加福广场，精致公寓，看米埔景观,加福广场华尔登府邸 , | 1室1厅 | 42.15平米 | 东南 | 精装,低楼层(共28层)2007年建板塔结合  -  ,福田保税区,78人关注 / 一年前发布,260,单价61685元/平米
东向2房，精装修，满2年，看房方便。,城市3米6公寓 , | 2室1厅 | 59.98平米 | 东 | 精装,低楼层(共27层)2003年建板塔结合  -  ,福田保税区,308人关注 / 一年前发布,318,单价53018元/平米
华业玫瑰郡 正规一室一厅 端头位置 前边无遮挡,华业玫瑰郡 , | 1室1厅 | 43.81平米 | 东 | 精装,中楼层(共18层)2010年建塔楼  -  ,龙岗中心城,96人关注 / 一年前发布,135,单价30815元/平米
满5年，红本在手，精装3房，户型方正,益田村 , | 3室2厅 | 99.66平米 | 北 | 精装,低楼层(共32层)2002年建板塔结合  -  ,石厦,55人关注 / 一年前发布,630,单价63215元/平米
布吉关口物业，东方盛世花园人车分流，,东方盛世花园 , | 1室1厅 | 45平米 | 东 | 简装,中楼层(共18层)2008年建板塔结合  -  ,布吉关,24人关注 / 一年前发布,210,单价46667元/平米
布吉颂雅苑 78平南向毛坯大两房*3房 满五红本物业,颂雅苑 , | 2室2厅 | 78.33平米 | 南 | 毛坯,中楼层(共8层)2000年建板塔结合  -  ,布吉大芬,281人关注 / 一年前发布,238,单价30385元/平米
前海自贸区 背山看海 户型方正 私家登山道,山海韵 , | 3室2厅 | 119.75平米 | 西南 | 毛坯,中楼层(共28层)2016年建塔楼  -  ,蛇口,33人关注 / 一年前发布,910,单价75992元/平米
千年等一回   朝南三房  带大阳台  保养好  诚心出售,祥云天都世纪大厦 , | 3室1厅 | 98.2平米 | 东南 | 精装,高楼层(共32层)2007年建板塔结合  -  ,新洲,77人关注 / 一年前发布,580,单价59064元/平米
户型通透 急售 视野开阔 看房方便 满2年,半山道1号礼宾府 , | 4室1厅 | 137平米 | 东 | 毛坯,中楼层(共31层)2014年建板塔结合  -  ,布吉街,23人关注 / 11个月以前发布,620,单价45256元/平米
百合外国语旁 满五年税少 南北通透 采光好 *三房,中加名园 , | 2室1厅 | 63.36平米 | 南 北 | 简装,高楼层(共7层)2005年建板塔结合  -  ,布吉关,45人关注 / 11个月以前发布,270,单价42614元/平米
南海玫瑰花园二期，全海景，看房有钥匙,南海玫瑰花园二期 , | 4室2厅 | 145.81平米 | 南 | 精装,高楼层(共18层)2005年建板塔结合  -  ,蛇口,31人关注 / 7个月以前发布,1500,单价102874元/平米
南联地铁口 远洋新干线 精装两房公寓,远洋新干线一期 , | 2室1厅 | 48.58平米 | 北 | 精装,高楼层(共32层)2015年建板塔结合  -  ,龙岗中心城,565人关注 / 一年前发布,130,单价26760元/平米
龙岗区 碧湖玫瑰园 三居室 南北通透 双阳台,碧湖玫瑰园 , | 3室1厅 | 115.05平米 | 南 北 | 简装,中楼层(共7层)2000年建板楼  -  ,龙岗中心城,47人关注 / 一年前发布,340,单价29553元/平米
万象天成  通透两房  看房方便  有钥匙,万象天成 , | 2室1厅 | 77.43平米 | 南 西 | 简装,高楼层(共28层)2010年建板塔结合  -  ,龙岗中心城,257人关注 / 一年前发布,240,单价30996元/平米
《清爽装修》三房两卫 双阳台看树景 鸟语花香,黄埔雅苑一期 , | 3室2厅 | 107.23平米 | 西北 | 简装,低楼层(共27层)2001年建塔楼  -  ,莲花,111人关注 / 一年前发布,828,单价77218元/平米
锦林新居原始三房地铁口物业采光好，安静，诚心出售,锦林新居 , | 3室1厅 | 81.53平米 | 西 | 简装,高楼层(共6层)1996年建板塔结合  -  ,梅林,80人关注 / 一年前发布,438,单价53723元/平米
此房满五年，红本在手 楼层好无遮挡,金地海景翠堤湾 , | 3室2厅 | 114.33平米 | 东南 | 精装,低楼层(共32层)2002年建板塔结合  -  ,沙尾,64人关注 / 一年前发布,770,单价67349元/平米
户型好*4房，楼层适中，环境好，配套好,文汇花园 , | 3室2厅 | 104.65平米 | 东南 | 简装,中楼层(共8层)1994年建板塔结合  -  ,新安,40人关注 / 一年前发布,420,单价40134元/平米
地铁口物业  人车分流花园  东南向2房安静不吵看花园,英郡年华 , | 2室2厅 | 66.24平米 | 东南 西南 | 精装,高楼层(共17层)2006年建塔楼  -  ,丹竹头,54人关注 / 一年前发布,290,单价43781元/平米
此房满两年 少有的南北户型 全景大客厅 业主诚意出售,万科麓城三期 , | 3室2厅 | 88.6平米 | 南 北 | 精装,低楼层(共37层)2017年建板塔结合  -  ,布吉水径,40人关注 / 一年前发布,490,单价55305元/平米
中熙君南山正规三房，业主诚心出售，看房方便,中熙君南山 , | 3室1厅 | 84.2平米 | 东南 | 毛坯,低楼层(共27层)2017年建塔楼  -  ,南山中心,78人关注 / 一年前发布,750,单价89074元/平米
邮轮母港 背山看海 户型方正 高层看海私家登山道,山海韵 , | 4室2厅 | 122.51平米 | 南 | 毛坯,中楼层(共29层)2016年建塔楼  -  ,蛇口,42人关注 / 一年前发布,1100,单价89789元/平米
颐安都会一期精装大三房  满五唯一  红本在手,颐安都会中央一期 , | 3室1厅 | 109.95平米 | 东南 | 精装,高楼层(共31层)2015年建塔楼  -  ,大运新城,19人关注 / 一年前发布,610,单价55480元/平米
小区满两年，看房有钥匙，业主诚心出售,中熙君南山 , | 3室2厅 | 91平米 | 东 东南 | 精装,低楼层(共33层)2017年建板塔结合  -  ,南山中心,42人关注 / 一年前发布,779,单价85605元/平米
鸿翔花园正规三房 东南朝向 厅出阳台 园岭地铁,鸿翔花园 , | 3室1厅 | 103.86平米 | 东南 | 精装,高楼层(共33层)2005年建板塔结合  -  ,地王,29人关注 / 一年前发布,850,单价81841元/平米
龙岗 紫悦龙庭 4房2卫 满两年 中楼层,全盛紫悦龙庭 , | 4室1厅 | 88.93平米 | 西南 | 毛坯,中楼层(共30层)2016年建板塔结合  -  ,龙岗中心城,28人关注 / 一年前发布,385,单价43293元/平米
高层开阔 大两房 税费少 交通便利 金色阳光雅居,金色阳光雅居 , | 2室1厅 | 66.99平米 | 东南 南 | 简装,中楼层(共16层)2005年建塔楼  -  ,蛇口,33人关注 / 一年前发布,526,单价78520元/平米
玫瑰园电梯两房 朝南 满两年 有钥匙看房方便 急卖,碧湖玫瑰园 , | 2室1厅 | 76.23平米 | 东南 | 简装,高楼层(共9层)2002年建塔楼  -  ,龙岗中心城,29人关注 / 一年前发布,295,单价38699元/平米
珑禧 正规三房 户型方正 装修较新 保养好,珑禧 , | 3室2厅 | 88.11平米 | 南 | 精装,中楼层(共29层)2015年建塔楼  -  ,龙岗中心城,19人关注 / 一年前发布,320,单价36319元/平米
龙华观澜招商观园朝南3房 随时看房 诚意出售,招商观园 , | 3室2厅 | 88.67平米 | 西南 | 精装,低楼层(共18层)2012年建板塔结合  -  ,观澜,74人关注 / 一年前发布,395,单价44548元/平米
龙岗 依山郡深中物业 满五年  实用率高 南北通透,招商依山郡 , | 3室2厅 | 129.04平米 | 南 北 | 简装,中楼层(共4层)2006年建板塔结合  -  ,龙岗中心城,19人关注 / 一年前发布,578,单价44793元/平米
世纪广场便宜两房，配套完善，交通便利,世纪广场 , | 2室1厅 | 39.69平米 | 南 | 精装,中楼层(共16层)1997年建板塔结合  -  ,南山中心,103人关注 / 11个月以前发布,248,单价62485元/平米
满两年花园中间看泳池 朝东向住家安静保养好 随时看,信义假日名城博雅园 , | 2室1厅 | 68.26平米 | 东 | 简装,低楼层(共11层)2003年建塔楼  -  ,布吉关,52人关注 / 11个月以前发布,318,单价46587元/平米
厅出阳台朝南，户型方正，城龙花园,城龙花园 , | 4室2厅 | 116.14平米 | 南 | 简装,中楼层(共16层)2003年建板塔结合  -  ,龙岗中心城,28人关注 / 11个月以前发布,368,单价31686元/平米
龙华花半里朝南看花园三房 安静位置 业主底价出售,龙华花半里花园 , | 3室1厅 | 78.4平米 | 南 | 精装,低楼层(共33层)2012年建板塔结合  -  ,龙华中心,21人关注 / 6个月以前发布,380,单价48470元/平米
大阳台，看海，东南向，2009年房，配套好，带装修,深业新岸线三期 , | 2室1厅 | 88.88平米 | 东 南 | 精装,中楼层(共25层)2009年建塔楼  -  ,宝安中心,40人关注 / 6个月以前发布,685,单价77071元/平米
地铁口物业 房子满二年。特殊户型两房*3房。,阳光里雅居 , | 2室1厅 | 53平米 | 东 | 精装,中楼层(共31层)2013年建板塔结合  -  ,南山中心,38人关注 / 4个月以前发布,500,单价94340元/平米
朝南向、实木地板、满五年、红本在手、桂芳园笋两房,桂芳园二期 , | 2室1厅 | 56.67平米 | 南 | 精装,低楼层(共11层)2002年建板塔结合  -  ,布吉大芬,435人关注 / 一年前发布,260,单价45880元/平米
帝港海湾豪园 花园里面 满5年深圳就一套,帝港海湾豪园 , | 2室1厅 | 64.86平米 | 北 | 精装,中楼层(共25层)2003年建塔楼  -  ,福田保税区,101人关注 / 一年前发布,435,单价67068元/平米
丹竹头地铁站 精装税费少 优雅小区 中高楼层 精致三房,泰雅园 , | 3室2厅 | 84.13平米 | 西北 | 精装,中楼层(共17层)2006年建板塔结合  -  ,布吉大芬,20人关注 / 一年前发布,364,单价43267元/平米
高尔夫实用2房，装修保养好。业主诚心卖,国都高尔夫花园二期 , | 2室1厅 | 79.72平米 | 南 | 精装,低楼层(共31层)2000年建塔楼  -  ,车公庙,76人关注 / 一年前发布,500,单价62720元/平米
笔架山下 精装修三房 红本在手。,依山居 , | 3室2厅 | 137.39平米 | 南 北 | 精装,低楼层(共12层)2001年建板塔结合  -  ,黄木岗,181人关注 / 一年前发布,833,单价60631元/平米
地铁7号线  花园式小区一房 背靠塘朗山 钥匙房随时看,中爱花园 , | 1室2厅 | 48.77平米 | 西 | 精装,低楼层(共15层)2004年建板楼  -  ,西丽,35人关注 / 一年前发布,328,单价67255元/平米
端头位置2房 一手业主 红本 沃尔玛楼上 田贝站500米,旭飞华达园 , | 2室1厅 | 50.34平米 | 东南 | 精装,高楼层(共24层)2002年建塔楼  -  ,百仕达,320人关注 / 一年前发布,259,单价51451元/平米
万科金域蓝湾一期 红本满五年唯一  看房方便,万科金域蓝湾一期 , | 3室1厅 | 103.21平米 | 南 | 精装,低楼层(共33层)2003年建板塔结合  -  ,上下沙,67人关注 / 一年前发布,880,单价85264元/平米
麟恒中心广场一期 3室1厅 330万,麟恒中心广场一期 , | 3室1厅 | 72.37平米 | 西南 | 精装,低楼层(共29层)2014年建板塔结合  -  ,横岗,96人关注 / 一年前发布,330,单价45600元/平米
雍景湾，业主自住装修，满五年唯一，红本，看房方便。,雍景湾 , | 3室2厅 | 85.43平米 | 南 北 | 精装,低楼层(共30层)2012年建板塔结合  -  ,蛇口,100人关注 / 一年前发布,1048,单价122674元/平米
荷坳地铁水晶之城电梯3房2卫 满五唯一红本在手 税费少,水晶之城 , | 3室2厅 | 100.46平米 | 东南 | 简装,高楼层(共11层)2004年建板塔结合  -  ,横岗,170人关注 / 一年前发布,350,单价34840元/平米
润恒尚园 2室2厅 500万,润恒尚园 , | 2室2厅 | 78.7平米 | 西北 | 精装,低楼层(共28层)2015年建板塔结合  -  ,西乡,37人关注 / 一年前发布,500,单价63533元/平米
又一村花园 1室1厅 188万,又一村花园 , | 1室1厅 | 46.57平米 | 东南 | 简装,高楼层(共7层)1998年建板塔结合  -  ,布吉街,48人关注 / 一年前发布,188,单价40370元/平米
又一村花园小两房，总价低，看房方便,又一村花园 , | 2室1厅 | 46.67平米 | 北 | 简装,高楼层(共8层)1999年建板塔结合  -  ,布吉街,263人关注 / 一年前发布,178,单价38141元/平米
花语岸三房一厅 精装修 电梯 朝南 采光好 通风好。,花语岸 , | 3室1厅 | 88.03平米 | 南 | 精装,低楼层(共30层)2010年建塔楼  -  ,布吉街,62人关注 / 一年前发布,379,单价43054元/平米
满五唯一，花园中间位置，采光好，户型很实用,西岸观邸 , | 3室2厅 | 81.52平米 | 西北 | 精装,中楼层(共28层)2007年建板塔结合  -  ,宝安中心,72人关注 / 一年前发布,760,单价93229元/平米
前门地铁后门公园大大社区三房，满五唯一红本,康达尔花园三期 , | 3室2厅 | 84.07平米 | 西北 | 精装,中楼层(共10层)2002年建板塔结合  -  ,布吉大芬,23人关注 / 一年前发布,348,单价41395元/平米
三期两房，户型方正，看湖景，大阳台，使用率高,茵悦之生花园三期 , | 2室2厅 | 67.4平米 | 东北 | 精装,中楼层(共18层)2007年建塔楼  -  ,布吉水径,73人关注 / 一年前发布,312,单价46291元/平米
天然居双景观3房2卫 客厅厨房双阳台对花园泳池 保养好,天然居 , | 3室2厅 | 109.69平米 | 西南 | 精装,中楼层(共31层)2002年建塔楼  -  ,香梅北,52人关注 / 一年前发布,1150,单价104841元/平米
御城精装三房   全屋硅藻泥   随时看房,信义御城豪园 , | 3室2厅 | 85.08平米 | 西南 | 精装,低楼层(共33层)2013年建塔楼  -  ,横岗,94人关注 / 一年前发布,375,单价44077元/平米
可换本，可贷30年， 南向满五年唯一 双卧室看海景,海景花园 , | 3室2厅 | 113.19平米 | 东南 | 简装,低楼层(共32层)1992年建板塔结合  -  ,华侨城,25人关注 / 一年前发布,720,单价63610元/平米
科技园四十八区 3室1厅 780万,科技园四十八区 , | 3室1厅 | 86.99平米 | 南 | 精装,中楼层(共7层)1993年建板楼  -  ,科技园,16人关注 / 一年前发布,780,单价89666元/平米
香诗美林精装南北通2房 位置安静 配套成熟,香诗美林 , | 2室1厅 | 80.23平米 | 南 北 | 精装,中楼层(共18层)2005年建板塔结合  -  ,竹子林,61人关注 / 一年前发布,660,单价82264元/平米
佳华名苑 精装两房 满五年 业主诚意出售,佳华名苑 , | 2室2厅 | 61.86平米 | 西南 | 简装,低楼层(共18层)2012年建板塔结合  -  ,宝安中心,419人关注 / 一年前发布,430,单价69512元/平米
满五唯一 精装修 科技园低总价好房,松坪村西区三期 , | 2室1厅 | 48.88平米 | 东南 | 精装,低楼层(共33层)2012年建板塔结合  -  ,科技园,137人关注 / 一年前发布,368,单价75287元/平米
佳馨园电梯3房  满5唯一 税费少 配套成熟 业主急卖,佳馨园 , | 3室1厅 | 75.39平米 | 南 | 简装,中楼层(共11层)2003年建板塔结合  -  ,龙岗中心城,158人关注 / 一年前发布,243,单价32233元/平米
"万科公园里二期精装修三房,罗湖后花园保养好",万科公园里二期 , | 3室2厅 | 78.46平米 | 东南 | 精装,高楼层(共32层)2014年建板塔结合  -  ,布吉南岭,47人关注 / 一年前发布,380,单价48433元/平米
桃源居三区1层方正两房房源点评,桃源居三区 , | 2室2厅 | 82.88平米 | 南 | 简装,低楼层(共9层)2003年建塔楼  -  ,桃源居,42人关注 / 一年前发布,410,单价49470元/平米
龙华2011年小区 满五年税费少 装修精致没有遮挡通风好,合能城市阳光花园 , | 2室2厅 | 67.01平米 | 东南 | 精装,低楼层(共22层)2011年建板塔结合  -  ,龙华中心,124人关注 / 一年前发布,280,单价41785元/平米
懿花园 端头位 看花园安静不吵 满五唯一 重新装修急售,懿花园 , | 3室2厅 | 89.18平米 | 南 | 精装,高楼层(共10层)2014年建板塔结合  -  ,观澜,35人关注 / 一年前发布,450,单价50460元/平米
双地铁华润万象汇户型方正交通便利楼层好人车分流,理想家园 , | 2室2厅 | 74.22平米 | 南 | 精装,中楼层(共9层)2004年建板塔结合  -  ,布吉关,38人关注 / 一年前发布,330,单价44463元/平米
松泉山庄大两房 满五年唯一 朝东 高楼层 采光好,松泉山庄 , | 2室1厅 | 77.03平米 | 东 | 简装,中楼层(共13层)1997年建板塔结合  -  ,布心,41人关注 / 一年前发布,345,单价44788元/平米
罗湖莲塘 仙湖植物园50米 待拆迁 三房 带29平方花园,仙桐馨苑 , | 3室2厅 | 86平米 | 南 | 简装,低楼层(共8层)1998年建板楼  -  ,莲塘,46人关注 / 11个月以前发布,430,单价50000元/平米
香景大厦满五唯一，红本在手，业主诚心卖，看房方便,香景大厦 , | 3室2厅 | 91.9平米 | 东北 | 简装,低楼层(共24层)1996年建塔楼  -  ,香梅北,21人关注 / 11个月以前发布,580,单价63113元/平米
君悦龙庭  精装4房   看花园  采光好,君悦龙庭 , | 4室2厅 | 123.83平米 | 东南 | 精装,中楼层(共28层)2010年建板塔结合  -  ,龙岗中心城,43人关注 / 11个月以前发布,525,单价42397元/平米
满五唯一，居家保养好，双阳台格局，利用率高,招商果岭花园 , | 2室1厅 | 72.14平米 | 西北 | 精装,低楼层(共34层)2012年建板塔结合  -  ,西乡,162人关注 / 11个月以前发布,425,单价58914元/平米
丽湖花园 少有小三房户型  看小区花园 满五唯一费用少,丽湖花园二期 , | 3室1厅 | 63.51平米 | 西北 | 精装,中楼层(共8层)1999年建板塔结合  -  ,布吉水径,82人关注 / 11个月以前发布,240,单价37790元/平米
招商桃花园满5年且唯一，税费很少，值得一看,招商桃花园 , | 2室2厅 | 70.74平米 | 南 北 | 精装,中楼层(共18层)2002年建板塔结合  -  ,蛇口,11人关注 / 11个月以前发布,665,单价94007元/平米
满五唯一红本在手 过户快税费少 视野无遮挡 看房随时,星海名城六期 , | 3室1厅 | 125.55平米 | 南 | 简装,高楼层(共28层)2007年建板楼  -  ,前海,26人关注 / 11个月以前发布,1000,单价79650元/平米
经理推荐：雍翠华府水贝地铁站A口，花园封闭式小区。,雍翠华府 , | 2室2厅 | 68.07平米 | 东南 | 精装,低楼层(共35层)2004年建板塔结合  -  ,布心,40人关注 / 11个月以前发布,370,单价54356元/平米
海滨城广场 正规大三房 满五唯一 红本在手 看房方便,海滨城广场 , | 3室1厅 | 90.9平米 | 东南 | 精装,低楼层(共11层)1999年建板塔结合  -  ,翻身,9人关注 / 11个月以前发布,520,单价57206元/平米
景田聚豪园花园式大社区 正规三居室 近莲花山、福田站,聚豪园 , | 3室1厅 | 107.71平米 | 西北 | 简装,中楼层(共25层)2000年建板塔结合  -  ,景田,49人关注 / 10个月以前发布,755,单价70096元/平米
云景 东南向两房 看山景 适合婚房,云景豪园 , | 2室1厅 | 67.94平米 | 东南 | 精装,中楼层(共29层)2002年建板塔结合  -  ,春风路,92人关注 / 10个月以前发布,330,单价48573元/平米
麒麟花园南向三房 满5年唯1，红本在手,麒麟花园B区 , | 3室2厅 | 97.69平米 | 南 | 简装,低楼层(共6层)1998年建板塔结合  -  ,南头,28人关注 / 9个月以前发布,900,单价92129元/平米
精装修 万科金色少有朝南格局  高楼层视野好 满5唯一,万科金色家园 , | 3室2厅 | 100.85平米 | 南 | 精装,高楼层(共23层)2000年建板塔结合  -  ,景田,45人关注 / 4个月以前发布,880,单价87259元/平米
小区端头位置，三面通风采光，次新装修，实用四房,祥云天都世纪大厦 , | 4室2厅 | 98.2平米 | 南 | 精装,低楼层(共32层)2007年建板塔结合  -  ,新洲,248人关注 / 一年前发布,575,单价58554元/平米
万科清林径 业主自住朝南精装三房 视野无遮挡 通风好,万科清林径 , | 3室2厅 | 78.77平米 | 南 | 精装,低楼层(共32层)2012年建板塔结合  -  ,龙岗中心城,66人关注 / 一年前发布,285,单价36182元/平米
五和地铁口 别墅区洋房两房，精装修 随时入住 满两年,十二橡树庄园一期 , | 2室2厅 | 68平米 | 东南 | 精装,低楼层(共16层)2011年建板楼  -  ,坂田,205人关注 / 一年前发布,350,单价51471元/平米
东向 采光好 大社区  业主靠谱卖,都市花园 , | 2室1厅 | 63.45平米 | 东 | 简装,中楼层(共13层)1999年建板楼  -  ,车公庙,45人关注 / 10个月以前发布,430,单价67770元/平米
大运片区，振业天峦精装两房，婚房装修，业主急售,振业天峦 , | 2室1厅 | 59.8平米 | 东南 | 精装,中楼层(共30层)2014年建板塔结合  -  ,龙岗宝荷,14人关注 / 3个月以前发布,240,单价40134元/平米
地铁口，新小区，大三房，配套成熟.,远洋新干线一期 , | 3室2厅 | 86.95平米 | 东北 | 毛坯,高楼层(共32层)2014年建板塔结合  -  ,龙岗中心城,30人关注 / 2个月以前发布,330,单价37953元/平米
中海半山溪谷花园 精装修 朝南向 大阳台！,中海半山溪谷花园 , | 4室2厅 | 108.12平米 | 东南 | 简装,高楼层(共8层)2007年建板塔结合  -  ,盐田港,54人关注 / 一年前发布,430,单价39771元/平米
少有资源 大面积装修保养好 高层景观好 诚心出售。,博林贡院 , | 5室3厅 | 229.4平米 | 南 | 精装,高楼层(共26层)2005年建塔楼  -  ,竹子林,64人关注 / 一年前发布,2300,单价100262元/平米
